Gender,Gender Code,Single-Year Ages,Single-Year Ages Code,Cause of death,Cause of death Code,Race,Race Code,Place of Death,Place of Death Code,Deaths,Population,Crude Rate
Female,F,1 year,1,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Decedent's home,4,1,Not Applicable,Not Applicable
Female,F,3 years,3,"Rifle, shotgun and larger firearm discharge",W33,Black or African American,2054-5,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Female,F,3 years,3,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Female,F,4 years,4,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Other,7,1,Not Applicable,Not Applicable
Female,F,4 years,4,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Dead on Arrival,3,1,Not Applicable,Not Applicable
Female,F,5 years,5,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Female,F,5 years,5,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Inpatient,1,1,Not Applicable,Not Applicable
Female,F,5 years,5,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Female,F,9 years,9,"Rifle, shotgun and larger firearm discharge",W33,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Female,F,13 years,13,Discharge from other and unspecified firearms,W34,White,2106-3,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Female,F,13 years,13,Discharge from other and unspecified firearms,W34,White,2106-3,Other,7,1,Not Applicable,Not Applicable
Female,F,14 years,14,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Other,7,1,Not Applicable,Not Applicable
Female,F,18 years,18,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
Female,F,20 years,20,Handgun discharge,W32,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Female,F,22 years,22,Discharge from other and unspecified firearms,W34,White,2106-3,Decedent's home,4,1,Not Applicable,Not Applicable
Female,F,23 years,23,Discharge from other and unspecified firearms,W34,Black or African American,2054-5,Medical Facility - Outpatient or ER,2,1,Not Applicable,Not Applicable
