Gender,Gender Code,Single-Year Ages Code,Cause of death,Race,Place of Death,Deaths
Female,F,1,Discharge from other and unspecified firearms,Black or African American,Decedent's home,1
Female,F,3,"Rifle, shotgun and larger firearm discharge",Black or African American,Medical Facility - Outpatient or ER,1
Female,F,3,Discharge from other and unspecified firearms,White,Medical Facility - Outpatient or ER,1
Female,F,4,Discharge from other and unspecified firearms,Black or African American,Other,1
Female,F,4,Discharge from other and unspecified firearms,White,Medical Facility - Dead on Arrival,1
Female,F,5,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Outpatient or ER,1
Female,F,5,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Female,F,5,Discharge from other and unspecified firearms,White,Medical Facility - Outpatient or ER,1
Female,F,9,"Rifle, shotgun and larger firearm discharge",White,Other,1
Female,F,13,Discharge from other and unspecified firearms,White,Medical Facility - Outpatient or ER,1
Female,F,13,Discharge from other and unspecified firearms,White,Other,1
Female,F,14,Discharge from other and unspecified firearms,Black or African American,Other,1
Female,F,18,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Outpatient or ER,1
Female,F,20,Handgun discharge,White,Decedent's home,1
Female,F,22,Discharge from other and unspecified firearms,White,Decedent's home,1
Female,F,23,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Outpatient or ER,1
Female,F,25,Handgun discharge,White,Decedent's home,1
Female,F,25,Discharge from other and unspecified firearms,Black or African American,Nursing home/long term care,1
Female,F,25,Discharge from other and unspecified firearms,White,Other,1
Female,F,26,Handgun discharge,White,Medical Facility - Inpatient,1
Female,F,29,Discharge from other and unspecified firearms,Black or African American,Decedent's home,1
Female,F,29,Discharge from other and unspecified firearms,White,Decedent's home,1
Female,F,31,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Female,F,32,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Female,F,32,Discharge from other and unspecified firearms,White,Decedent's home,1
Female,F,32,Discharge from other and unspecified firearms,White,Other,1
Female,F,33,Handgun discharge,White,Other,1
Female,F,34,Discharge from other and unspecified firearms,White,Other,1
Female,F,35,Discharge from other and unspecified firearms,American Indian or Alaska Native,Decedent's home,1
Female,F,35,Discharge from other and unspecified firearms,White,Medical Facility - Dead on Arrival,1
Female,F,36,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Female,F,39,Discharge from other and unspecified firearms,White,Medical Facility - Outpatient or ER,1
Female,F,39,Discharge from other and unspecified firearms,White,Decedent's home,1
Female,F,39,Discharge from other and unspecified firearms,White,Other,1
Female,F,42,Discharge from other and unspecified firearms,White,Decedent's home,1
Female,F,44,Discharge from other and unspecified firearms,Black or African American,Medical Facility - Outpatient or ER,1
Female,F,44,Discharge from other and unspecified firearms,White,Decedent's home,1
Female,F,45,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Female,F,47,Handgun discharge,White,Medical Facility - Outpatient or ER,1
Female,F,48,Discharge from other and unspecified firearms,White,Other,1
Female,F,49,Discharge from other and unspecified firearms,Asian or Pacific Islander,Medical Facility - Inpatient,1
Female,F,51,Handgun discharge,White,Medical Facility - Outpatient or ER,1
Female,F,51,Discharge from other and unspecified firearms,White,Decedent's home,1
Female,F,52,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Female,F,53,Discharge from other and unspecified firearms,White,Other,1
Female,F,55,Discharge from other and unspecified firearms,Black or African American,Other,1
Female,F,57,Discharge from other and unspecified firearms,Black or African American,Decedent's home,1
Female,F,58,"Rifle, shotgun and larger firearm discharge",White,Other,1
Female,F,59,Discharge from other and unspecified firearms,White,Other,1
Female,F,60,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Female,F,61,Discharge from other and unspecified firearms,White,Decedent's home,1
Female,F,63,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Female,F,64,Handgun discharge,White,Medical Facility - Outpatient or ER,1
Female,F,75,Discharge from other and unspecified firearms,White,Decedent's home,1
Female,F,83,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Male,M,0,Discharge from other and unspecified firearms,White,Medical Facility - Inpatient,1
Male,M,2,Handgun discharge,Black or African American,Medical Facility - Inpatient,1
Male,M,2,Handgun discharge,White,Decedent's home,1
Male,M,2,Discharge from other and unspecified firearms,White,Other,1
